setid,number,numbervariant,name,year,theme,themegroup,subtheme,pieces,minifigs,image,imagefilename,thumbnailurl,largethumbnailurl,imageurl,brickseturl,released,owned,wanted,qtyowned,usernotes,acmdatacount,ownedbytotal,wantedbytotal,ukretailprice,usretailprice,caretailprice,euretailprice,usdateaddedtosah,usdateremovedfromsah,rating,reviewcount,packagingtype,availability,instructionscount,additionalimagecount,agemin,agemax,height,width,depth,weight,category,userrating,ean,upc,lastupdated
27170,41329,1,Olivia's Deluxe Bedroom,2018,Friends,Girls,,163,1,true,41329-1,https://images.brickset.com/sets/small/41329-1.jpg,https://images.brickset.com/sets/small/41329-1.jpg,https://images.brickset.com/sets/images/41329-1.jpg,https://brickset.com/sets/41329-1,true,false,false,0,,0,825,252,12.99,14.99,18.99,14.99,2018-01-01,2018-12-28,0,0,Box,Retail,2,5,6,12,,,,,Normal,0,,,2017-12-07T03:48:48.8
27171,41330,1,Stephanie's Soccer Practice,2018,Friends,Girls,,119,1,true,41330-1,https://images.brickset.com/sets/small/41330-1.jpg,https://images.brickset.com/sets/small/41330-1.jpg,https://images.brickset.com/sets/images/41330-1.jpg,https://brickset.com/sets/41330-1,true,false,false,0,,0,703,220,12.99,14.99,18.99,14.99,2018-01-01,2018-11-27,0,0,Box,Retail,2,9,6,12,,,,,Normal,0,,,2017-12-07T03:49:59.64
27719,41332,1,Emma's Art Stand,2018,Friends,Girls,,210,1,true,41332-1,https://images.brickset.com/sets/small/41332-1.jpg,https://images.brickset.com/sets/small/41332-1.jpg,https://images.brickset.com/sets/images/41332-1.jpg,https://brickset.com/sets/41332-1,true,false,false,0,,0,1349,314,17.99,19.99,24.99,19.99,2018-01-01,2019-08-26,0,0,Box,Retail,2,8,6,12,19.1,26.2,6.1,0.32,Normal,0,5702016077438,673419280020,2017-12-07T03:47:28.513
27718,41333,1,Olivia's Mission Vehicle,2018,Friends,Girls,,223,1,true,41333-1,https://images.brickset.com/sets/small/41333-1.jpg,https://images.brickset.com/sets/small/41333-1.jpg,https://images.brickset.com/sets/images/41333-1.jpg,https://brickset.com/sets/41333-1,true,false,false,0,,0,1367,268,14.99,19.99,24.99,19.99,2018-01-01,2020-01-25,0,0,Box,Retail,2,10,6,12,19.1,26.2,6.1,0.32,Normal,0,5702016111309,673419282871,2017-12-07T03:48:07.707
27717,41334,1,Andrea's Park Performance,2018,Friends,Girls,,229,3,true,41334-1,https://images.brickset.com/sets/small/41334-1.jpg,https://images.brickset.com/sets/small/41334-1.jpg,https://images.brickset.com/sets/images/41334-1.jpg,https://brickset.com/sets/41334-1,true,false,false,0,,0,705,291,19.99,24.99,29.99,24.99,2018-01-01,2019-02-06,0,0,Box,Retail,2,10,6,12,,,,,Normal,0,,,2017-12-07T01:10:45.697
27716,41335,1,Mia's Tree House,2018,Friends,Girls,,351,2,true,41335-1,https://images.brickset.com/sets/small/41335-1.jpg,https://images.brickset.com/sets/small/41335-1.jpg,https://images.brickset.com/sets/images/41335-1.jpg,https://brickset.com/sets/41335-1,true,false,false,0,,0,1672,316,24.99,29.99,39.99,29.99,2018-01-01,,4,1,Box,Retail,2,12,6,12,26.2,28.2,7.6,0.61,Normal,0,5702016077452,673419280044,2017-12-07T01:09:18.827
27525,41336,1,Emma's Art Café,2018,Friends,Girls,,378,2,true,41336-1,https://images.brickset.com/sets/small/41336-1.jpg,https://images.brickset.com/sets/small/41336-1.jpg,https://images.brickset.com/sets/images/41336-1.jpg,https://brickset.com/sets/41336-1,true,false,false,0,,0,864,335,29.99,32.99,39.99,32.99,2018-01-01,2019-07-15,0,0,Box,Retail,2,11,6,12,19.1,35.4,7,0.6,Normal,0,5702016111590,673419282710,2017-12-07T01:09:57.687
29071,41337,1,Underwater Loop,2019,Friends,Girls,,389,2,true,41337-1,https://images.brickset.com/sets/small/41337-1.jpg,https://images.brickset.com/sets/small/41337-1.jpg,https://images.brickset.com/sets/images/41337-1.jpg,https://brickset.com/sets/41337-1,true,false,false,0,,0,341,354,24.99,29.99,39.99,29.99,2019-08-02,,0,0,Box,Retail,2,4,7,,,,,,Normal,0,5702016537802,,2019-06-01T04:54:12.58
27526,41338,1,Stephanie's Sports Arena,2018,Friends,Girls,,460,2,true,41338-1,https://images.brickset.com/sets/small/41338-1.jpg,https://images.brickset.com/sets/small/41338-1.jpg,https://images.brickset.com/sets/images/41338-1.jpg,https://brickset.com/sets/41338-1,true,false,false,0,,0,399,267,39.99,44.99,49.99,39.99,2018-01-01,2019-07-20,0,0,Box,Retail,2,6,6,12,26.2,38.2,7.05,0.76,Normal,0,5702016111606,673419282727,2017-12-07T01:08:26.667
27527,41339,1,Mia's Camper Van,2018,Friends,Girls,Summer,488,2,true,41339-1,https://images.brickset.com/sets/small/41339-1.jpg,https://images.brickset.com/sets/small/41339-1.jpg,https://images.brickset.com/sets/images/41339-1.jpg,https://brickset.com/sets/41339-1,true,false,false,0,,0,1337,544,49.99,54.99,69.99,54.99,2018-01-01,2019-12-10,0,0,Box,Retail,2,11,7,12,28.2,48,6.1,0.91,Normal,0,5702016111613,673419282734,2017-12-07T01:07:34.887
27524,41340,1,Friendship House,2018,Friends,Girls,,722,3,true,41340-1,https://images.brickset.com/sets/small/41340-1.jpg,https://images.brickset.com/sets/small/41340-1.jpg,https://images.brickset.com/sets/images/41340-1.jpg,https://brickset.com/sets/41340-1,true,false,false,0,,0,1292,472,59.99,69.99,89.99,69.99,2018-01-01,2020-01-23,5,1,Box,Retail,2,9,6,12,37.8,35.4,9.4,1.14,Normal,0,5702016111620,673419282741,2017-12-07T01:06:30.653
27941,41342,1,Emma's Deluxe Bedroom,2018,Friends,Girls,,183,1,true,41342-1,https://images.brickset.com/sets/small/41342-1.jpg,https://images.brickset.com/sets/small/41342-1.jpg,https://images.brickset.com/sets/images/41342-1.jpg,https://brickset.com/sets/41342-1,true,false,false,0,,0,685,224,12.99,14.99,18.99,14.99,2018-06-02,2018-12-28,0,0,Box,Retail,2,4,6,12,,,,,Normal,0,,,2018-06-01T05:20:32.08
28070,41343,1,Heartlake City Airplane Tour,2018,Friends,Girls,,323,1,true,41343-1,https://images.brickset.com/sets/small/41343-1.jpg,https://images.brickset.com/sets/small/41343-1.jpg,https://images.brickset.com/sets/images/41343-1.jpg,https://brickset.com/sets/41343-1,true,false,false,0,,0,422,243,29.99,29.99,39.99,29.99,2018-08-01,2019-08-04,0,0,Box,Retail,2,5,6,12,,,,,Normal,0,5702016111651,,2018-06-01T05:21:14.66
27942,41344,1,Andrea's Accessories Store,2018,Friends,Girls,,294,2,true,41344-1,https://images.brickset.com/sets/small/41344-1.jpg,https://images.brickset.com/sets/small/41344-1.jpg,https://images.brickset.com/sets/images/41344-1.jpg,https://brickset.com/sets/41344-1,true,false,false,0,,0,676,255,24.99,29.99,39.99,29.99,2018-08-01,2020-01-12,0,0,Box,Retail,4,4,6,12,19.1,35.4,7,0.51,Normal,0,5702016111668,673419283489,2018-06-01T05:22:46.093
28066,41345,1,Heartlake City Pet Centre,2018,Friends,Girls,,474,3,true,41345-1,https://images.brickset.com/sets/small/41345-1.jpg,https://images.brickset.com/sets/small/41345-1.jpg,https://images.brickset.com/sets/images/41345-1.jpg,https://brickset.com/sets/41345-1,true,false,false,0,,0,433,350,54.99,59.99,79.99,59.99,2018-08-01,2019-11-30,5,1,Box,Retail,2,4,6,12,28.2,48,6.1,0.99,Normal,0,5702016111972,673419283496,2018-06-01T05:23:41.133
27943,41346,1,Friendship Box,2018,Friends,Girls,,563,NA,true,41346-1,https://images.brickset.com/sets/small/41346-1.jpg,https://images.brickset.com/sets/small/41346-1.jpg,https://images.brickset.com/sets/images/41346-1.jpg,https://brickset.com/sets/41346-1,true,false,false,0,,0,416,171,44.99,49.99,64.99,49.99,2018-08-01,,0,0,Box,Retail,10,4,6,12,26.2,38.2,9.4,0.98,Normal,0,5702016111989,673419283502,2019-09-10T08:52:43.257
27944,41348,1,Service & Care Truck,2018,Friends,Girls,,247,1,true,41348-1,https://images.brickset.com/sets/small/41348-1.jpg,https://images.brickset.com/sets/small/41348-1.jpg,https://images.brickset.com/sets/images/41348-1.jpg,https://brickset.com/sets/41348-1,true,false,false,0,,0,918,220,14.99,19.99,24.99,19.99,2018-06-02,2019-08-19,0,0,Box,Retail,2,4,6,12,19.1,20.5,7.3,0.35,Normal,0,5702016112009,673419283526,2018-06-01T05:26:08.923
27945,41349,1,Drifting Diner,2018,Friends,Girls,,345,2,true,41349-1,https://images.brickset.com/sets/small/41349-1.jpg,https://images.brickset.com/sets/small/41349-1.jpg,https://images.brickset.com/sets/images/41349-1.jpg,https://brickset.com/sets/41349-1,true,false,false,0,,0,1018,332,24.99,29.99,39.99,29.99,2018-06-02,2019-08-12,0,0,Box,Retail,2,4,6,12,19.1,35.4,7,0.54,Normal,0,5702016112016,673419283533,2018-06-01T05:26:48.253
28071,41350,1,Spinning Brushes Car Wash,2018,Friends,Girls,,325,2,true,41350-1,https://images.brickset.com/sets/small/41350-1.jpg,https://images.brickset.com/sets/small/41350-1.jpg,https://images.brickset.com/sets/images/41350-1.jpg,https://brickset.com/sets/41350-1,true,false,false,0,,0,463,275,24.99,29.99,39.99,29.99,2018-08-01,2019-07-15,0,0,Box,Retail,2,4,7,12,,,,,Normal,0,5702016112023,,2018-06-01T05:27:29.213
27946,41351,1,Creative Tuning Shop,2018,Friends,Girls,,413,2,true,41351-1,https://images.brickset.com/sets/small/41351-1.jpg,https://images.brickset.com/sets/small/41351-1.jpg,https://images.brickset.com/sets/images/41351-1.jpg,https://brickset.com/sets/41351-1,true,false,false,0,,0,729,263,39.99,39.99,49.99,39.99,2018-06-02,2020-01-27,0,0,Box,Retail,2,4,6,12,26.2,38.2,5.65,0.67,Normal,0,5702016112030,673419283557,2018-06-01T05:28:17.013
27947,41352,1,The Big Race Day,2018,Friends,Girls,,648,3,true,41352-1,https://images.brickset.com/sets/small/41352-1.jpg,https://images.brickset.com/sets/small/41352-1.jpg,https://images.brickset.com/sets/images/41352-1.jpg,https://brickset.com/sets/41352-1,true,false,false,0,,0,670,250,49.99,59.99,79.99,59.99,2018-06-02,2019-09-15,0,0,Box,Retail,4,4,7,12,28.2,48,7.4,0.99,Normal,0,5702016112047,673419283564,2019-08-03T19:10:20.827
27948,41353,1,Friends Advent Calendar,2018,Friends,Girls,Seasonal,500,NA,true,41353-1,https://images.brickset.com/sets/small/41353-1.jpg,https://images.brickset.com/sets/small/41353-1.jpg,https://images.brickset.com/sets/images/41353-1.jpg,https://brickset.com/sets/41353-1,true,false,false,0,,0,1299,130,22.99,29.99,39.99,29.99,2018-09-02,2019-06-12,0,0,Box,Retail,0,2,6,12,,,,,Normal,0,,,2018-09-02T05:36:56.81
28487,41359,1,Heart Box Friendship Pack,2019,Friends,Girls,,199,2,true,41359-1,https://images.brickset.com/sets/small/41359-1.jpg,https://images.brickset.com/sets/small/41359-1.jpg,https://images.brickset.com/sets/images/41359-1.jpg,https://brickset.com/sets/41359-1,true,false,false,0,,0,488,182,14.99,19.99,24.99,19.99,2019-01-02,2020-01-12,0,0,{Not specified},{Not specified},2,5,NA,,19.1,26.2,6.1,0.31,Normal,0,5702016369472,673419303484,2018-11-29T11:14:47.593
28485,41361,1,Mia's Foal Stable ,2019,Friends,Girls,,118,1,true,41361-1,https://images.brickset.com/sets/small/41361-1.jpg,https://images.brickset.com/sets/small/41361-1.jpg,https://images.brickset.com/sets/images/41361-1.jpg,https://brickset.com/sets/41361-1,true,false,false,0,,0,414,167,14.99,19.99,24.99,19.99,2019-01-02,,0,0,{Not specified},{Not specified},2,5,NA,,19.1,26.2,6.1,0.29,Normal,0,5702016370256,673419304009,2018-11-29T11:15:25.443
29070,41362,1,Heartlake City Supermarket,2019,Friends,Girls,,140,2,true,41362-1,https://images.brickset.com/sets/small/41362-1.jpg,https://images.brickset.com/sets/small/41362-1.jpg,https://images.brickset.com/sets/images/41362-1.jpg,https://brickset.com/sets/41362-1,true,false,false,0,,0,161,218,24.99,29.99,39.99,29.99,2019-08-02,,0,0,Box,Retail,2,4,4,,,,,,Normal,0,5702016370263,,2019-06-01T04:54:54.35
28484,41363,1,Mia's Forest Adventures ,2019,Friends,Girls,,134,1,true,41363-1,https://images.brickset.com/sets/small/41363-1.jpg,https://images.brickset.com/sets/small/41363-1.jpg,https://images.brickset.com/sets/images/41363-1.jpg,https://brickset.com/sets/41363-1,true,false,false,0,,0,420,178,12.99,14.99,19.99,14.99,2019-01-02,2020-01-11,0,0,{Not specified},{Not specified},2,5,NA,,14.1,19.1,4.6,0.15,Normal,0,5702016369380,673419303040,2018-11-29T11:15:38.07
28483,41364,1,Stephanie's Buggy & Trailer ,2019,Friends,Girls,,166,1,true,41364-1,https://images.brickset.com/sets/small/41364-1.jpg,https://images.brickset.com/sets/small/41364-1.jpg,https://images.brickset.com/sets/images/41364-1.jpg,https://brickset.com/sets/41364-1,true,false,false,0,,0,387,143,17.99,19.99,24.99,19.99,2019-01-01,2020-02-06,0,0,{Not specified},{Not specified},2,4,NA,,19.1,26.2,6.1,0.29,Normal,0,5702016369397,673419303552,2018-11-29T11:15:52.903
28438,41365,1,Emma's Art Studio,2019,Friends,Girls,,235,2,true,41365-1,https://images.brickset.com/sets/small/41365-1.jpg,https://images.brickset.com/sets/small/41365-1.jpg,https://images.brickset.com/sets/images/41365-1.jpg,https://brickset.com/sets/41365-1,true,false,false,0,,0,707,320,19.99,24.99,34.99,24.99,2019-01-01,2019-12-02,0,0,Box,Retail,2,6,NA,,26.2,22.2,6.2,0.42,Normal,0,5702016369403,673419303569,2018-11-20T02:26:40.803
28482,41366,1,Olivia's Cupcake Cafe,2019,Friends,Girls,,335,2,true,41366-1,https://images.brickset.com/sets/small/41366-1.jpg,https://images.brickset.com/sets/small/41366-1.jpg,https://images.brickset.com/sets/images/41366-1.jpg,https://brickset.com/sets/41366-1,true,false,false,0,,0,553,247,24.99,29.99,39.99,29.99,2019-01-01,,0,0,{Not specified},{Not specified},2,7,6,,26.2,28.2,7.6,0.56,Normal,0,5702016369410,673419303576,2019-02-16T23:46:19.077
28481,41367,1,Stephanie's Obstacle Course,2019,Friends,Girls,,337,2,true,41367-1,https://images.brickset.com/sets/small/41367-1.jpg,https://images.brickset.com/sets/small/41367-1.jpg,https://images.brickset.com/sets/images/41367-1.jpg,https://brickset.com/sets/41367-1,true,false,false,0,,0,316,185,34.99,39.99,49.99,39.99,2019-01-02,,0,0,{Not specified},{Not specified},2,5,NA,,26.2,38.2,5.65,0.59,Normal,0,5702016369427,673419303583,2018-11-29T11:16:32.883
28480,41368,1,Andrea's Talent Show,2019,Friends,Girls,,492,2,true,41368-1,https://images.brickset.com/sets/small/41368-1.jpg,https://images.brickset.com/sets/small/41368-1.jpg,https://images.brickset.com/sets/images/41368-1.jpg,https://brickset.com/sets/41368-1,true,false,false,0,,0,250,191,44.99,49.99,69.99,49.99,2019-01-02,,0,0,{Not specified},{Not specified},2,5,NA,,28.2,48,6.1,0.72,Normal,0,5702016369434,673419303590,2018-11-29T11:16:47.033
28479,41369,1,Mia's House,2019,Friends,Girls,,715,3,true,41369-1,https://images.brickset.com/sets/small/41369-1.jpg,https://images.brickset.com/sets/small/41369-1.jpg,https://images.brickset.com/sets/images/41369-1.jpg,https://brickset.com/sets/41369-1,true,false,false,0,,0,561,325,59.99,69.99,89.99,69.99,2019-01-02,,0,0,{Not specified},{Not specified},2,5,NA,,28.2,54,7.85,1.12,Normal,0,5702016369441,673419303606,2018-11-29T11:16:58.73
29072,41371,1,Mia's Horse Trailer,2019,Friends,Girls,,216,2,true,41371-1,https://images.brickset.com/sets/small/41371-1.jpg,https://images.brickset.com/sets/small/41371-1.jpg,https://images.brickset.com/sets/images/41371-1.jpg,https://brickset.com/sets/41371-1,true,false,false,0,,0,248,158,24.99,29.99,39.99,29.99,2019-08-02,,0,0,Box,Retail,2,4,6,,,,,,Normal,0,5702016369151,,2019-06-01T04:55:22.003
29073,41372,1,Stephanie's Gymnastics Show,2019,Friends,Girls,,241,2,true,41372-1,https://images.brickset.com/sets/small/41372-1.jpg,https://images.brickset.com/sets/small/41372-1.jpg,https://images.brickset.com/sets/images/41372-1.jpg,https://brickset.com/sets/41372-1,true,false,false,0,,0,194,174,24.99,29.99,39.99,29.99,2019-08-02,,0,0,Box,Retail,4,4,6,,,,,,Normal,0,5702016369168,,2019-06-01T04:58:24.58
29269,41373,1,Funny Octopus Ride,2019,Friends,Girls,,324,2,true,41373-1,https://images.brickset.com/sets/small/41373-1.jpg,https://images.brickset.com/sets/small/41373-1.jpg,https://images.brickset.com/sets/images/41373-1.jpg,https://brickset.com/sets/41373-1,true,false,false,0,,0,389,378,34.99,39.99,49.99,39.99,2019-08-02,,0,0,Box,Retail,2,4,7,,,,,,Normal,0,5702016370171,,2019-06-01T04:58:26.78
29074,41374,1,Andrea's Pool Party,2019,Friends,Girls,,468,2,true,41374-1,https://images.brickset.com/sets/small/41374-1.jpg,https://images.brickset.com/sets/small/41374-1.jpg,https://images.brickset.com/sets/images/41374-1.jpg,https://brickset.com/sets/41374-1,true,false,false,0,,0,193,251,44.99,49.99,69.99,49.99,2019-08-02,,0,0,Box,Retail,2,4,6,,,,,,Normal,0,5702016370188,,2019-06-01T04:58:30.723
29066,41376,1,Turtles Rescue Mission,2019,Friends,Girls,,225,2,true,41376-1,https://images.brickset.com/sets/small/41376-1.jpg,https://images.brickset.com/sets/small/41376-1.jpg,https://images.brickset.com/sets/images/41376-1.jpg,https://brickset.com/sets/41376-1,true,false,false,0,,0,696,343,17.99,19.99,24.99,19.99,2019-07-01,,0,0,Box,Retail,2,4,6,,,,,,Normal,0,5702016370201,,2019-06-01T05:00:19.987
29068,41378,1,Dolphins Rescue Mission,2019,Friends,Girls,,363,2,true,41378-1,https://images.brickset.com/sets/small/41378-1.jpg,https://images.brickset.com/sets/small/41378-1.jpg,https://images.brickset.com/sets/images/41378-1.jpg,https://brickset.com/sets/41378-1,true,false,false,0,,0,591,449,34.99,39.99,49.99,39.99,2019-08-02,,0,0,Box,Retail,4,4,6,,,,,,Normal,0,5702016370218,,2019-06-01T05:00:22.837
29076,41379,1,Heartlake City Restaurant,2019,Friends,Girls,,624,3,true,41379-1,https://images.brickset.com/sets/small/41379-1.jpg,https://images.brickset.com/sets/small/41379-1.jpg,https://images.brickset.com/sets/images/41379-1.jpg,https://brickset.com/sets/41379-1,true,false,false,0,,0,397,567,54.99,59.99,79.99,59.99,2019-08-02,,5,1,Box,Retail,2,4,6,,,,,,Normal,0,5702016537819,,2019-06-01T05:00:26.833
29067,41380,1,Lighthouse Rescue Centre,2019,Friends,Girls,,602,2,true,41380-1,https://images.brickset.com/sets/small/41380-1.jpg,https://images.brickset.com/sets/small/41380-1.jpg,https://images.brickset.com/sets/images/41380-1.jpg,https://brickset.com/sets/41380-1,true,false,false,0,,0,432,420,54.99,59.99,79.99,59.99,2019-08-02,,0,0,Box,Retail,4,4,6,,,,,,Normal,0,5702016370225,,2019-06-01T05:01:09.41
29065,41382,1,Friends Advent Calendar,2019,Friends,Girls,Seasonal,330,3,true,41382-1,https://images.brickset.com/sets/small/41382-1.jpg,https://images.brickset.com/sets/small/41382-1.jpg,https://images.brickset.com/sets/images/41382-1.jpg,https://brickset.com/sets/41382-1,true,false,false,0,,0,598,149,22.99,29.99,39.99,24.99,2019-09-01,2019-11-25,4,1,Box,Retail,0,2,6,,,,,,Normal,0,5702016370270,,2019-08-31T20:11:53.51
29768,41390,1,Andrea's Car & Stage,2020,Friends,Girls,,240,2,true,41390-1,https://images.brickset.com/sets/small/41390-1.jpg,https://images.brickset.com/sets/small/41390-1.jpg,https://images.brickset.com/sets/images/41390-1.jpg,https://brickset.com/sets/41390-1,true,false,false,0,,0,23,145,17.99,19.99,24.99,19.99,2020-01-02,,0,0,Box,Retail,2,4,6,,,,,,Normal,0,5702016618778,,2019-12-31T17:24:40.01
29697,41391,1,Heartlake City Hair Salon,2020,Friends,Girls,,235,2,true,41391-1,https://images.brickset.com/sets/small/41391-1.jpg,https://images.brickset.com/sets/small/41391-1.jpg,https://images.brickset.com/sets/images/41391-1.jpg,https://brickset.com/sets/41391-1,true,false,false,0,,0,84,212,17.99,19.99,24.99,19.99,2020-01-02,,0,0,Box,Retail,2,4,6,,,,,,Normal,0,5702016618785,,2019-12-25T17:26:44.537
29698,41392,1,Nature Glamping,2020,Friends,Girls,,241,2,true,41392-1,https://images.brickset.com/sets/small/41392-1.jpg,https://images.brickset.com/sets/small/41392-1.jpg,https://images.brickset.com/sets/images/41392-1.jpg,https://brickset.com/sets/41392-1,true,false,false,0,,0,57,219,24.99,29.99,39.99,29.99,2020-01-02,,0,0,Box,Retail,2,4,6,,,,,,Normal,0,5702016618792,,2019-12-25T17:26:55.757
29699,41393,1,Baking Competition,2020,Friends,Girls,,361,3,true,41393-1,https://images.brickset.com/sets/small/41393-1.jpg,https://images.brickset.com/sets/small/41393-1.jpg,https://images.brickset.com/sets/images/41393-1.jpg,https://brickset.com/sets/41393-1,true,false,false,0,,0,59,214,34.99,39.99,49.99,39.99,2020-01-02,,0,0,Box,Retail,2,4,6,,,,,,Normal,0,5702016618808,,2019-12-25T17:26:55.757
29700,41394,1,Heartlake City Hospital,2020,Friends,Girls,,379,3,true,41394-1,https://images.brickset.com/sets/small/41394-1.jpg,https://images.brickset.com/sets/small/41394-1.jpg,https://images.brickset.com/sets/images/41394-1.jpg,https://brickset.com/sets/41394-1,true,false,false,0,,0,36,206,54.99,49.99,69.99,59.99,2020-01-02,,0,0,Box,Retail,4,4,6,,,,,,Normal,0,5702016618815,,2019-12-25T17:26:57.053
29701,41395,1,Friendship Bus,2020,Friends,Girls,,778,3,true,41395-1,https://images.brickset.com/sets/small/41395-1.jpg,https://images.brickset.com/sets/small/41395-1.jpg,https://images.brickset.com/sets/images/41395-1.jpg,https://brickset.com/sets/41395-1,true,false,false,0,,0,39,220,64.99,69.99,99.99,69.99,2020-01-02,,0,0,Box,Retail,2,4,8,,,,,,Normal,0,5702016618822,,2019-12-25T17:27:03.163
29703,41397,1,Juice Truck,2020,Friends,Girls,,103,NA,true,41397-1,https://images.brickset.com/sets/small/41397-1.jpg,https://images.brickset.com/sets/small/41397-1.jpg,https://images.brickset.com/sets/images/41397-1.jpg,https://brickset.com/sets/41397-1,true,false,false,0,,0,54,220,17.99,19.99,24.99,19.99,2020-01-02,,0,0,Box,Retail,2,4,4,,,,,,Normal,0,5702016618846,,2019-12-25T17:27:11.913
29769,41431,1, Heartlake City Brick Box,2020,Friends,Girls,,321,2,true,41431-1,https://images.brickset.com/sets/small/41431-1.jpg,https://images.brickset.com/sets/small/41431-1.jpg,https://images.brickset.com/sets/images/41431-1.jpg,https://brickset.com/sets/41431-1,true,false,false,0,,0,19,118,34.99,39.99,49.99,39.99,2020-01-02,,0,0,Tub,Retail,0,4,5,,,,,,Normal,0,5702016668735,,2019-12-31T17:25:27.73
10364,850581,1,Friends Brick Calendar,2013,Friends,Girls,,140,NA,true,850581-1,https://images.brickset.com/sets/small/850581-1.jpg,https://images.brickset.com/sets/small/850581-1.jpg,https://images.brickset.com/sets/images/850581-1.jpg,https://brickset.com/sets/850581-1,true,false,false,0,,0,908,496,10.49,14.99,17.99,6.49,2013-03-01,2014-11-29,0,0,Box,LEGO exclusive,0,3,6,,,,,0.28,Extended,0,,673419194839,2013-04-03T23:38:16.53
22604,850591,1,Friends Name Sign,2013,Friends,Girls,,NA,NA,true,850591-1,https://images.brickset.com/sets/small/850591-1.jpg,https://images.brickset.com/sets/small/850591-1.jpg,https://images.brickset.com/sets/images/850591-1.jpg,https://brickset.com/sets/850591-1,true,false,false,0,,0,270,182,7.99,12.99,15.99,4.99,2013-03-01,2015-04-08,0,0,{Not specified},{Not specified},0,2,NA,,,,,0.14,Extended,0,,673419194853,2014-02-15T08:39:43.31
23690,850967,1,Jungle Accessory Set,2014,Friends,Girls,Jungle Rescue,39,1,true,850967-1,https://images.brickset.com/sets/small/850967-1.jpg,https://images.brickset.com/sets/small/850967-1.jpg,https://images.brickset.com/sets/images/850967-1.jpg,https://brickset.com/sets/850967-1,true,false,false,0,,0,1018,589,10.99,14.99,17.99,9.09,2014-08-02,2015-03-21,4,1,Blister pack,LEGO exclusive,0,2,6,,,,,,Extended,0,,,2017-02-19T01:54:56.56
24175,853441,1,Mini-doll Carry Case,2015,Friends,Girls,,2,NA,true,853441-1,https://images.brickset.com/sets/small/853441-1.jpg,https://images.brickset.com/sets/small/853441-1.jpg,https://images.brickset.com/sets/images/853441-1.jpg,https://brickset.com/sets/853441-1,true,false,false,0,,0,114,116,10.99,14.99,17.99,12.99,2015-01-06,2015-07-30,0,0,Box,LEGO exclusive,0,2,6,,,,,,Extended,0,,,2015-01-01T03:40:44.23
24560,853443,1,VIP Cardboard Name Plate,2015,Friends,Girls,Miscellaneous,52,NA,true,853443-1,https://images.brickset.com/sets/small/853443-1.jpg,https://images.brickset.com/sets/small/853443-1.jpg,https://images.brickset.com/sets/images/853443-1.jpg,https://brickset.com/sets/853443-1,true,false,false,0,,0,107,107,8.49,12.99,15.99,9.99,2015-06-01,2017-05-19,0,0,Blister pack,LEGO exclusive,0,2,7,,,,,,Extended,0,,,2015-06-01T05:31:15.48
26092,853556,1,Friends Mini-Doll Campsite Set,2016,Friends,Girls,Adventure Camp,35,3,true,853556-1,https://images.brickset.com/sets/small/853556-1.jpg,https://images.brickset.com/sets/small/853556-1.jpg,https://images.brickset.com/sets/images/853556-1.jpg,https://brickset.com/sets/853556-1,true,false,false,0,,0,292,283,10.99,14.99,17.99,12.99,2016-03-01,2018-10-03,3,1,Blister pack,LEGO exclusive,0,1,6,,,,,,Extended,0,,,2016-03-05T07:50:57.763
27338,853671,1,Playmat and accessory set,2017,Friends,Girls,,95,NA,true,853671-1,https://images.brickset.com/sets/small/853671-1.jpg,https://images.brickset.com/sets/small/853671-1.jpg,https://images.brickset.com/sets/images/853671-1.jpg,https://brickset.com/sets/853671-1,true,false,false,0,,0,198,90,20.99,24.99,29.99,24.99,2017-08-01,2019-04-02,0,0,Box,{Not specified},0,5,NA,,,,,,Extended,0,673419275507,673419275507,2017-07-31T10:50:36.803
23398,5003097,1,Friends Collection 1,2014,Friends,Girls,Product Collection,412,NA,true,5003097-1,https://images.brickset.com/sets/small/5003097-1.jpg,https://images.brickset.com/sets/small/5003097-1.jpg,https://images.brickset.com/sets/images/5003097-1.jpg,https://brickset.com/sets/5003097-1,true,false,false,0,,0,17,126,NA,57.97,68.97,NA,2014-01-07,2014-07-02,0,0,{Not specified},{Not specified},0,4,6,,,,,,Collection,0,,,2014-01-04T18:50:36.97
8530,2254,1,Mountain Shrine,2011,Ninjago,Action/Adventure,Spinners,169,2,true,2254-1,https://images.brickset.com/sets/small/2254-1.jpg,https://images.brickset.com/sets/small/2254-1.jpg,https://images.brickset.com/sets/images/2254-1.jpg,https://brickset.com/sets/2254-1,true,false,false,0,,0,2163,1066,14.99,19.99,24.99,NA,2011-08-05,2011-12-11,4.6,10,Box,{Not specified},2,14,7,14,19.1,26.19,6.1,0.34,Normal,0,,673419144773,2019-07-20T19:26:51.963
8293,2257,1,Spinjitzu Starter Set,2011,Ninjago,Action/Adventure,Spinners,57,2,true,2257-1,https://images.brickset.com/sets/small/2257-1.jpg,https://images.brickset.com/sets/small/2257-1.jpg,https://images.brickset.com/sets/images/2257-1.jpg,https://brickset.com/sets/2257-1,true,false,false,0,,0,2849,532,12.99,19.99,24.99,NA,2011-01-04,2012-01-10,3.625,8,{Not specified},{Not specified},2,11,6,14,23.01,26.01,2.79,0.17,Normal,0,,673419168564,2010-12-23T03:01:48.88
